458,586
415,416
662,426
385,325
634,567
472,711
725,782
368,777
347,452
704,689
789,727
497,380
341,527
484,726
555,775
456,316
612,458
486,574
384,568
767,571
454,697
607,647
366,598
418,421
475,562
375,358
431,467
416,744
460,782
646,501
586,748
367,709
638,410
704,747
512,714
787,685
729,450
649,583
419,700
352,440
579,544
623,354
515,547
586,473
667,407
627,787
551,583
597,539
701,768
385,382
434,456
707,591
478,448
450,560
667,515
596,717
742,587
544,403
726,629
374,495
723,462
693,358
660,475
770,686
692,329
389,675
742,328
587,341
361,695
759,680
452,700
690,725
766,482
514,588
593,540
393,393
719,464
484,515
432,657
480,394
688,625
415,478
774,314
459,467
396,601
798,532
729,627
391,372
460,780
531,530
312,453
426,709
546,603
469,570
490,734
406,438
699,696
650,684
564,763
775,600
600,370
597,625
378,487
514,466
697,602
320,793
589,787
506,507
676,362
448,528
364,388
330,510
593,753
335,765
521,725
463,376
733,489
322,718
373,525
423,621
723,537
751,495
769,369
607,324
562,356
745,677
554,714
750,528
656,459
507,492
552,561
392,382
533,716
553,659
428,746
633,390
796,719
508,791
569,772
497,532
612,772
444,506
391,357
469,435
630,450
649,327
653,368
431,725
666,527
442,474
630,749
622,519
324,465
335,742
605,632
489,732
506,612
576,444
567,446
799,375
339,622
452,594
365,624
644,568
531,598
422,766
622,731
560,395
504,699
663,651
458,511
605,483
434,728
588,735
492,359
364,534
344,303
459,763
327,349
574,574
384,514
599,527
427,687
505,688
450,727
568,374
678,323
314,387
574,697
659,715
380,611
402,792
473,406
529,645
710,363
382,797
414,318
489,742
703,433
727,468
783,683
334,622
738,360
726,356
325,336
785,313
661,495
335,669
580,763
603,306
403,315
347,558
415,637
507,558
788,663
311,768
599,579
716,615
443,602
795,360
524,619
426,660
400,406
672,711
588,549
732,325
349,464
692,757
748,355
340,795
614,696
475,532
793,543
655,399
401,355
574,367
759,616
712,576
794,465
340,444
382,630
513,519
571,697
721,751
427,624
740,714
401,411
499,788
734,387
512,308
790,437
746,723
319,661
636,547
771,529
440,651
454,647
783,530
497,399
333,559
635,441
426,507
480,329
434,632
687,426
352,391
410,560
491,435
591,784
708,513
419,477
720,536
366,753
433,547
583,487
369,376
706,393
487,770
555,302
796,731
375,550
665,782
791,374
383,645
325,519
520,673
751,681
386,372
696,794
335,760
436,718
763,683
445,436
394,418
576,341
624,729
784,689
480,373
432,487
578,696
370,684
441,385
429,464
613,375
497,491
652,556
426,601
646,779
565,632
763,307
558,305
429,387
585,632
443,660
587,350
754,680
379,586
303,368
793,387
307,543
305,466
517,536
487,693
654,605
529,395
338,640
354,377
663,562
527,387
376,727
614,504
353,537
311,462
468,787
524,449
494,669
755,453
619,407
511,565
781,605
591,717
389,510
668,731
534,316
462,331
589,778
317,355
647,717
597,751
325,325
685,721
669,703
560,624
760,522
392,337
559,409
579,570
614,575
786,563
541,659
655,581
602,415
416,723
337,604
573,593
506,578
726,322
452,550
651,585
682,700
405,622
686,746
655,546
560,392
485,731
318,687
793,467
463,593
503,623
653,461
519,789
366,413
781,554
702,469
494,517
376,697
477,674
473,784
739,781
549,624
362,428
599,627
532,713
648,716
778,536
786,509
439,766
608,639
316,623
362,643
766,663
335,627
380,458
459,591
482,640
704,728
308,400
449,401
369,599
306,681
790,651
722,575
366,623
700,750
306,789
702,731
393,667
608,470
609,303
656,676
400,323
301,781
755,613
619,765
569,639
694,448
562,721
458,655
430,399
688,622
393,509
521,307
784,509
302,757
388,671
309,551
612,726
577,437
416,503
531,303
479,473
699,446
336,707
560,318
543,554
419,534
665,752
531,506
655,723
458,664
756,662
581,450
654,753
413,736
335,380
303,705
386,472
365,535
341,480
703,583
621,551
309,607
608,558
385,404
449,746
636,593
532,683
336,407
654,605
419,407
592,324
441,490
565,380
500,781
465,564
702,612
489,535
611,390
396,464
537,460
625,587
638,565
583,720
410,470
553,619
469,776
366,354
383,452
638,656
681,757
501,457
593,687
553,448
561,333
700,777
749,416
485,355
529,636
660,588
757,374
368,501
760,408
705,660
561,591
657,467
517,459
670,578
585,516
326,403
590,449
507,365
307,469
467,704
664,767
773,637
522,318
635,487
512,598
688,517
447,320
631,428
424,401
698,669
756,329
742,322
391,524
398,768
530,497
311,711
378,476
549,438
446,393
577,324
420,517
390,707
635,539
793,596
597,492
542,435
563,504
499,605
501,703
765,760
340,684
483,317
386,687
629,591
381,524
627,718
513,450
685,603
706,300
692,475
618,662
611,659
634,738
511,544
719,643
517,361
516,715
321,468
407,429
416,738
710,583
692,765
411,727
376,456
535,544
694,468
733,758
403,459
682,327
607,511
757,555
307,631
709,520
611,754
301,384
710,531
461,678
528,596
576,496
566,509
438,475
614,782
404,604
712,404
631,528
302,679
690,640
701,424
348,654
319,506
656,652
343,671
656,527
414,369
305,617
560,602
713,461
